Sku_id,Desc,Vendor,Zone,Aisle,Bay,Sell_unit,Pack_1,Pack_2,Pack_3,DOFT
ACC11038,"COV,PSBD,2.75""CC,5.5X8.5,RD",ACC,A,41,16,EA,EA,BX,,1995/4/2
ACC15004,"FLDR,PSBD,LTR,1DIV,W/FAS,RD",ACC,A,41,16,EA,EA,BX,,1995/4/2
ACC15006,"FLDR,PSBD,LTR,2DIV,W/FAS,RD",ACC,A,41,16,EA,EA,BX,,1995/4/2
ACC15014,"FLDR,PSBD,LTR,1DIV,W/FAS,GY",ACC,A,41,17,EA,EA,BX,,1995/4/2
ACC15016,"FLDR,PSBD,LTR,2DIV,W/FAS,GY",ACC,A,41,17,EA,EA,BX,,1995/4/2
ACC15024,"FLDR,PSBD,RCY,LTR,4PT,SKYBE",ACC,A,41,17,EA,EA,BX,,1995/4/2
ACC15026,"FLDR,PSBD,RCY,LTR,6PT,SKYBE",ACC,A,41,18,EA,EA,BX,,1995/4/2
ACC15034,"FLDR,PSBD,LTR,1DIV,W/FAS,RD",ACC,A,41,18,EA,EA,BX,,1995/4/2
ACC15036,"FLDR,PSBD,LTR,2DIV,W/FAS,RD",ACC,A,41,19,EA,EA,BX,,1995/4/2
ACC15038,"FLDR,PSBD,LTR,8DIV,W/FAS,RD",ACC,A,41,19,EA,EA,BX,,1995/4/2
ACC15044,"FLDR,PSBD,LTR,1DIV,W/FAS,GN",ACC,A,41,20,EA,EA,BX,,1995/4/2
ACC15046,"FLDR,PSBD,LTR,2DIV,W/FAS,GN",ACC,A,41,20,EA,EA,BX,,1995/4/2
ACC15048,"FOLDER,8 PT,LTR,GREEN",ACC,A,41,19,EA,EA,BX,,1995/7/2
ACC15054,"FLDR,PSBD,LTR,1DIV,W/FAS,GY",ACC,A,41,21,EA,EA,BX,,1995/4/2
ACC15056,"FLDR,PSBD,LTR,2DIV,W/FAS,GY",ACC,A,41,21,EA,EA,BX,,1995/4/2
ACC15663,"FOLDER,6-PART",ACC,A,41,26,EA,EA,BX,,1996/12/2
ACC15665,"FOLDER,W/FASTNR,LTR,6PT,GRN",ACC,A,41,24,EA,EA,BX,,1996/2/26
ACC15669,"FOLDER,6 PT,LTR,BROWN RED",ACC,A,41,26,EA,EA,BX,,1996/11/11
ACC16004,"FLDR,PSBD,LGL,1DIV,W/FAS,RD",ACC,A,41,22,EA,EA,BX,,1995/4/2
ACC16006,"FLDR,PSBD,LGL,2DIV,W/FAS,RD",ACC,A,41,22,EA,EA,BX,,1995/4/2
ACC16014,"FLDR,PSBD,LGL,1DIV,W/FAS,GY",ACC,A,41,22,EA,EA,BX,,1995/4/2
ACC16016,"FLDR,PSBD,LGL,2DIV,W/FAS,GY",ACC,A,41,22,EA,EA,BX,,1995/4/2
ACC16024,"FLDR,PSBD,RCY,LGL,4PT,SKYBE",ACC,A,41,22,EA,EA,BX,,1995/4/2
ACC16026,"FLDR,PSBD,RCY,LGL,6PT,SKYBE",ACC,A,41,23,EA,EA,BX,,1995/4/2
ACC16034,"FLDR,PSBD,LGL,1DIV,W/FAS,RD",ACC,A,41,23,EA,EA,BX,,1995/4/2
ACC16036,"FLDR,PSBD,LGL,2DIV,W/FAS,RD",ACC,A,41,23,EA,EA,BX,,1995/4/2
ACC16038,"FOLDER,LGL,8-PART,RD",ACC,A,41,19,EA,EA,BX,,1995/4/2
ACC16044,"FLDR,PSBD,LGL,1DIV,W/FAS,GN",ACC,A,41,24,EA,EA,BX,,1995/4/2
ACC16046,"FLDR,PSBD,LGL,2DIV,W/FAS,GN",ACC,A,41,24,EA,EA,BX,,1995/4/2
ACC16048,"FOLDER,LGL,8-PART,GREEN",ACC,A,41,25,EA,EA,BX,,1995/10/1
ACC16054,"FLDR,PSBD,LGL,1DIV,W/FAS,GY",ACC,A,41,25,EA,EA,BX,,1995/4/2
ACC16056,"FLDR,PSBD,LGL,2DIV,W/FAS,GY",ACC,A,41,25,EA,EA,BX,,1995/4/2
ACC16663,"FOLDER,6-PART",ACC,A,41,26,EA,EA,BX,,1996/1/1
ACC16665,"FOLDER,W/FASTNR,LGL,DK GRN",ACC,A,41,24,EA,EA,BX,,1996/4/1
ACC16669,"FOLDER,W/FASTNR,LGL,6PT,BRN",ACC,A,41,25,EA,EA,BX,,1996/4/1
ACC17021,"COVR,PSBD,2.75""CC,8.5X11,BK",ACC,A,41,26,EA,EA,BX,,1995/4/2
ACC17022,"COVR,PSBD,2.75""CC,8.5X11,LB",ACC,A,41,26,EA,EA,BX,,1995/4/2
ACC17023,"COVR,PSBD,8.5X1,LTR,DK.BE",ACC,A,41,26,EA,EA,BX,,1995/4/2
ACC17025,"COVR,PSBD,2.75""CC,8.5X11,GN",ACC,A,41,27,EA,EA,BX,,1995/4/2
ACC17028,"COVR,PSBD,2.75""CC,8.5X11,RD",ACC,A,41,27,EA,EA,BX,,1995/4/2
ACC17041,"COVR,PSBD,4.25""CC,8.5X11,BK",ACC,A,41,27,EA,EA,BX,,1995/4/2
ACC17042,"COVR,PSBD,4.25""CC,8.5X11,LB",ACC,A,41,28,EA,EA,BX,,1995/4/2
ACC17048,"COVR,PSBD,4.25""CC,8.5X11,RD",ACC,A,41,28,EA,EA,BX,,1995/4/2
ACC17921,"COV,PSBD,CLTH BND,8.5X11,BK",ACC,A,41,28,EA,EA,BX,,1995/4/2
